label,description
ade4,
ape,
arlequin,
barrier,
bayeslang,
bayesphylogenies,http://www.evolution.reading.ac.uk/BayesPhy.html
bayestraits,http://www.evolution.reading.ac.uk/BayesTraits.html
bayestrees,
beast,https://beast.community
beast2,http://www.beast2.org/
beast2+innovation,https://github.com/king-ben/innovations
brms,Bayesian Regression Models using 'Stan'
brownie.lite,R package brownie
caper,R package caper
corHMM,
custom,Custom tool
dendroscope,
gabmap,
geiger,
GenAlEx,
GenGIS,
hisse,R package hisse
iqtree,
LEA,R package LEA
lingpy,
macclade,
mantel,
manual,Lovingly handcrafted bespoke visualisation
MacClade,
MAPLE,
MCMCglmm,
MEGA,
mesquite,
model,mathematical model
mrbayes,http://nbisweden.github.io/MrBayes/
mvMORPH,
network,
past,
paup*,
perfect,Perfect Phylogeny Algorithm
phangorn,
phylip,
phylogemetric,
phylolm,
phylopath,
phyloWeights,https://github.com/erichround/phyloWeights/
phytools,
picante,
poy5,
punctuatedwebapp,http://www.evolution.reading.ac.uk/pe/index.html
pylotiger,
QDist,http://birc.au.dk/software/qdist
Quartet,
QuartetDist,https://almob.biomedcentral.com/articles/10.1186/1748-7188-1-16
RateCounter,https://github.com/SimonGreenhill/RateCounter
r,misc R
r8s,http://ceiba.biosci.arizona.edu/r8s/index.html
raxml,
revbayes,https://revbayes.github.io/
splitdist,http://birc.au.dk/software/splitdist/
splitstree,http://www.splitstree.org/
stan,
starling,
structure,
tiger-calculator,https://github.com/kasyrj/tiger-calculator
tnt,
traitlab,https://sites.google.com/site/traitlab/
treemix,
unknown,?
vegan,R Vegan package
Xgvis,
